"Park_Code","Title","Duration","Short_Description","Image_URL","Record_Type"
"arch","Geology","4","Over two thousand natural sandstone arches, the greatest concentration of rock arches in the world, are preserved in Arches National Park. Arches is also home to an extraordinary collection of balanced rocks, salt dissolution structures, folds resulting from salt tectonics, petrified dune fields, and a maze of deep narrow canyons. Explore just a few of these features on a geologic tour of Arches.","https://www.nps.gov/common/uploads/tours/1D70865A-DD62-D29C-2AE4EB5045ABB0A1.jpg","Tour"
"arch","Hiking at Arches","","Arches contains a variety of hiking trails, from easy/moderate to long and strenuous. Many trails use cairns (stacks of rocks) for markers and cross broad rock surfaces, requiring attention to follow. Learn how to Protect Yourself and Protect Your Park with hiking safety and Leave No Trace tips.","https://www.nps.gov/common/uploads/cropped_image/78A2747C-CEC5-0C9B-464978166B28ED01.jpg","Thing To Do"
"arch","Human History","2","Explore the depth of human history in Arches National Park. The archeological record tells us that humans have been travelling through and living in this stunning desert landscape for thousands of years. We also know that traditionally associated American Indian tribes have been here since time immemorial. Early settlers, cattle ranchers, and park founders also made a lasting impact on the landscape. Archeological sites are fragile resources. Never touch, leave artifacts in place, and watch your step.","https://www.nps.gov/common/uploads/tours/4BA5CB89-C3EA-33CC-E18256E77D888DB6.jpg","Tour"
"arch","Stargazing Events in Southeast Utah","1-3 Hours","Rangers occasionally lead stargazing programs and events at parks throughout southeast Utah. Learn about what to expect and check out a schedule of stargazing events at Arches and Canyonlands national parks and Hovenweep and Natural Bridges national monuments. Even when formal programs are not offered, people are welcome to enjoy the parks after dark on their own.","https://www.nps.gov/common/uploads/cropped_image/37D13C57-DFBC-141D-34B708E234D8116B.jpg","Thing To Do"
"arho","Blue Line - DC Metro","1-2 Days","From the National Mall and Memorial Parks to the Mount Vernon Trail, travel the Blue Line to see what the southern portion of Washington, DC has to offer. Each of the parks listed here are 1 mile or less from each metro stop (about a 20 minute walk) or a 10 minute bus ride away.","https://www.nps.gov/common/uploads/cropped_image/DB9C49E8-1DD8-B71B-0B495C1B62B3BC73.jpg","Thing To Do"
"azru","Aztec West Self-Guided Audio Tour","30","Please note: stops 19 through 26 are cultural stories and do not have a corresponding numbered post on the self-guided trail. This trail guide invites you to experience Aztec Ruins from two perspectives: Interpretations based on excavations, research, and consultations with modern Southwestern tribes and the poetic, personal stories by a resident of Santa Clara Pueblo, one of several communities whose members are descendants of the people who lived throughout the Four Corners Region nine centuries ago.","https://www.nps.gov/common/uploads/tours/9F523177-BE86-C53C-7D500BEB89386DDD.jpg","Tour"
"badl","Badlands Astronomy Festival","30-60 Minutes","Celebrate the spectacular sights and science of night skies at Badlands National Park's annual Astronomy Festival. Join astronomers, rangers, and visitors for activities, discussions, and programs about the night sky.","https://www.nps.gov/common/uploads/cropped_image/AD404E5E-A205-D56D-D21208540CEFFDA2.jpg","Thing To Do"
"badl","Driving tour and a short hike","3","Are you only passing through the Badlands? This tour takes you off the freeway and through the main highway of the park. You'll begin by stopping by one of our stunning overlooks and then taking a short 1.5 mile hike along Notch Trail. From there, you'll head to the visitor center and then drive the famous loop road with several overlooks marked along the way.","https://www.nps.gov/common/uploads/tours/DD9060F4-AEE8-436F-0DFE0E552DE387CD.jpg","Tour"
"badl","Enjoy the Night Sky","30-90 Minutes","Night Sky Viewings are a great way to see the dark skies of the Badlands. Park rangers and astronomy volunteers are available to point out objects in the night sky and help you look through telescopes.","https://www.nps.gov/common/uploads/cropped_image/3C4B8FA6-9334-824F-B22CBD9D82EDCF90.jpg","Thing To Do"
"badl","Fossil Exhibit Trail","1","The Fossil Exhibit Trail is a self-guided, fully accessible boardwalk featuring fossil replicas and exhibits of extinct creatures that once lived in the area. The exhibits are tactile, so please feel free to touch. Braille is incorporated into the exhibits.","https://www.nps.gov/common/uploads/tours/A97F7D24-0079-FB57-2AC124E263E15BA6.jpg","Tour"
